 t-Modal velocity.
 wavevector:          16 Branch:           1
 t_evo real  imag
   10.62000      6.400041531251779E-012 -8.364812461368502E-012
   10.63500      1.066363513417285E-011 -2.703206688341052E-012
   10.65000      7.968970254592522E-012  6.658668034662853E-012
   10.66500      2.139708033974011E-012  5.667662543588254E-012
   10.68000     -9.842847086997040E-012 -3.383200173630590E-012
   10.69500     -1.058624555566544E-011 -2.715781029921796E-012
   10.71000     -1.819948305269693E-012  7.408954500357997E-013
   10.72500      6.281220608968825E-012  7.763212611156292E-012
   10.74000      9.566600644255941E-012  2.460807655825451E-012
   10.75500      9.139862835695534E-012 -1.970772362071645E-012
   10.77000     -4.756757362926956E-012 -8.324452992484677E-012
   10.78500     -1.035307304758728E-011 -5.287228126819982E-012
   10.80000     -6.352284272213909E-012 -1.276507305332466E-013
   10.81500     -3.077021156158919E-012  4.279702123523865E-012
   10.83000      6.484009675250360E-012  8.420944887065294E-012
   10.84500      8.276016589266064E-012  4.023078862209915E-012
   10.86000      7.214617037010583E-012 -3.893874981925315E-012
   10.87500     -1.375049287799481E-012 -4.471979478714996E-012
   10.89000     -1.243265677872563E-011 -4.385114283295318E-012
   10.90500     -1.211628256805955E-011  1.113355943776686E-012
   10.92000     -1.641983567234686E-012  4.441352215767187E-012
   10.93500      1.050271288817240E-011  7.858138903985944E-012
   10.95000      1.093043923016566E-011  3.005305498312674E-013
   10.96500      4.228445830840994E-012 -5.550167158149874E-012
   10.98000     -4.999697071534150E-012 -7.760594028503156E-012
   10.99500     -1.235583408613050E-011 -3.382544906213644E-012
   11.01000     -6.823601667552146E-012  2.978327229134670E-012
   11.02500      4.565844696193866E-012  4.018764868262258E-012
   11.04000      1.536446201806115E-011  1.866438189001363E-013
   11.05500      1.107320819212764E-011 -1.489321476445186E-012
   11.07000     -2.555513587903079E-012 -2.847174107125992E-012
   11.08500     -1.483422858010661E-011  4.760456274106810E-012
   11.10000     -1.244890207577837E-011  6.454836815773625E-013
   11.11500      9.121798011913048E-013 -2.821319701145013E-012
   11.13000      1.255145367247833E-011 -5.189912395463317E-012
   11.14500      1.094068376286660E-011  1.034499354198475E-012
   11.16000      7.836891288844958E-012  2.282520163091220E-012
   11.17500     -5.948052132943441E-012  1.680870042621315E-012
   11.19000     -1.363271616788308E-011  9.751931880626428E-013
   11.20500     -8.868738598706835E-012 -1.824685543460830E-012
   11.22000     -1.280661776947259E-012  1.401550251741051E-012
   11.23500      1.174782441673810E-011  8.736969246892475E-013
   11.25000      1.219281261350165E-011  1.265938611613819E-012
   11.26500      1.399051381016226E-012  3.475622572494614E-013
   11.28000     -7.779697535832239E-012 -5.634729281189196E-012
   11.29500     -8.411356705757653E-012 -5.751661436230339E-012
   11.31000     -3.792577537913257E-012 -8.316705485156031E-013
   11.32500      4.177971113225334E-012  5.873418525757073E-012
   11.34000      1.305310158439751E-011  9.317199466648312E-012
   11.35500      2.332359835846830E-012  3.720007835019907E-013
   11.37000     -8.739928237720650E-012 -1.017436246186963E-011
